TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
LAL,LAL vs. OKC,04/08/2022,W,48,120,100,20,56.1,2.3,17.3,21.7,76.9,51,10,55.5,60.5,100.5,60.5
ATL,ATL @ MIA,04/08/2022,L,48,112.4,116.5,-4.1,40.5,1.13,13,35.4,83.3,56,15.5,52.3,56.6,97,45.7
DAL,DAL vs. POR,04/08/2022,W,48,128,81.3,46.8,59.5,1.67,18.1,32.5,83.3,61.7,15,65.8,69.1,98,77.1
MIA,MIA vs. ATL,04/08/2022,W,48,116.5,112.4,4.1,50,1.18,16.3,16.7,64.6,44,17.5,63.2,67,97,54.3
NYK,NYK @ WAS,04/08/2022,W,48,116.3,93.9,22.4,65.9,2.7,19.9,22.9,94.3,53,10.2,55.7,58.9,98,59.2
CHI,CHI vs. CHA,04/08/2022,L,48,124.5,140,-15.5,56.8,2.08,19.5,23.1,73.5,46.6,12.8,61.6,64.4,94.5,43.6
BKN,BKN vs. CLE,04/08/2022,W,48,126.9,115.1,11.8,69.8,2.73,20.8,42.9,75.6,58.5,11.8,53.3,58.3,93,58.3
HOU,HOU @ TOR,04/08/2022,L,48,111.7,113.6,-1.9,55.8,1.26,17.6,22.5,73.1,51.1,18.4,59.3,62.8,103,49.4
POR,POR @ DAL,04/08/2022,L,48,81.3,128,-46.8,64.5,1.18,16,16.7,67.5,38.3,17.7,41.6,44.2,98,22.9
CHA,CHA @ CHI,04/08/2022,W,48,140,124.5,15.5,65.4,3.09,24.6,26.5,76.9,53.4,11.6,71.5,73.6,94.5,56.4
TOR,TOR vs. HOU,04/08/2022,W,48,113.6,111.7,1.9,45.5,2,14.6,26.9,77.5,48.9,9.7,49.5,55.1,103,50.6
DET,DET vs. MIL,04/08/2022,L,48,96.2,126,-29.8,77.1,1.93,18.8,21.4,73.6,46.8,13.3,44.4,50.4,104.5,38.4
PHX,PHX @ UTA,04/08/2022,W,48,112.1,107.1,5,58.7,2.08,19.4,30.4,69.6,52,13.1,53.3,56.3,98.5,55.6
UTA,UTA vs. PHX,04/08/2022,L,48,107.1,112.1,-5,57.1,1.82,14.9,30.4,69.6,48,11.2,46,51.2,98.5,44.4
CLE,CLE @ BKN,04/08/2022,L,48,115.1,126.9,-11.8,47.5,2.11,15.4,24.4,57.1,41.5,9.7,53.7,57.8,93,41.7
OKC,OKC @ LAL,04/08/2022,L,48,100,120,-20,52.5,1.5,15.7,23.1,78.3,49,13.9,48.9,52.4,100.5,39.5
SAS,SAS @ MIN,04/07/2022,L,48,115.2,121,-5.7,72.1,2.58,21.1,23.4,69,48.6,11.4,53.9,58.2,105,52.6
LAL,LAL @ GSW,04/07/2022,L,48,105.7,119.6,-14,37.8,0.74,10.6,25,73.9,48.9,17.9,50,56.2,106.5,39.5
DEN,DEN vs. MEM,04/07/2022,W,48,119.6,107.9,11.7,61.4,1.42,19.3,30.6,79.6,58.8,18.6,62.5,67,101.5,55.9
NOP,NOP vs. POR,04/07/2022,W,48,135.1,101.1,34,70.5,2.58,20.4,52.9,84.8,65.5,12.8,54.3,59.5,93.5,63.4
PHI,PHI @ TOR,04/07/2022,L,48,121.3,126.6,-5.3,70.3,1.53,20.2,22.5,65.3,46.1,18.1,62,66.3,94,49.6
POR,POR @ NOP,04/07/2022,L,48,101.1,135.1,-34,77.8,1.27,22.2,15.2,47.1,34.5,23.7,60.1,62.9,93.5,36.6
CHA,CHA vs. ORL,04/07/2022,W,48,120.8,93.5,27.2,60.4,2.42,19.9,23.4,81.7,56.1,11.3,58.7,61.6,107,64.8
MIN,MIN vs. SAS,04/07/2022,W,48,121,115.2,5.7,61,2.27,16.9,31,76.6,51.4,10.5,53.1,57.9,105,47.4
GSW,GSW vs. LAL,04/07/2022,W,48,119.6,105.7,14,76.5,2.6,24.7,26.1,75,51.1,14,60.8,63.1,106.5,60.5
TOR,TOR vs. PHI,04/07/2022,W,48,126.6,121.3,5.3,48.9,2,16.5,34.7,77.5,53.9,11.7,57.7,60.1,94,50.4
BOS,BOS @ MIL,04/07/2022,L,48,117.5,122.1,-4.6,69.8,1.88,21.1,20,69.2,46.4,15.5,61.5,63.4,103.5,48.9
ORL,ORL @ CHA,04/07/2022,L,48,93.5,120.8,-27.2,71.1,1.69,18.5,18.3,76.6,43.9,14.8,47.9,50.1,107,35.2
MEM,MEM @ DEN,04/07/2022,L,48,107.9,119.6,-11.7,71.4,2.31,21.3,20.4,69.4,41.2,12.9,53.4,56,101.5,44.1
MIL,MIL vs. BOS,04/07/2022,W,48,122.1,117.5,4.6,55.1,2.45,18.5,30.8,80,53.6,10.6,57.7,59.8,103.5,51.1
LAC,LAC vs. PHX,04/06/2022,W,48,107.6,103.8,3.8,60.6,1.18,14.8,21.7,68.1,49.6,16.2,52,59.9,105,55.8
