TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
OKC,OKC vs. MIL,03/08/2022,L,48,109.5,135.2,-25.7,61.9,1.63,19,13.6,64,40.4,15.2,59.5,61.7,105,39.3
LAC,LAC @ GSW,03/08/2022,L,48,95.1,110.9,-15.8,69.7,1.77,16.2,27.9,72.9,47.7,12.7,41.9,47,101.5,42.4
GSW,GSW vs. LAC,03/08/2022,W,48,110.9,95.1,15.8,75,2.06,22.4,27.1,72.1,52.3,15.8,54.9,57.3,101.5,57.6
ORL,ORL vs. PHX,03/08/2022,L,48,94.3,97.1,-2.9,48.6,1.42,12.9,19.3,84.7,52.6,11.4,41.8,48.1,105,46.1
CHA,CHA vs. BKN,03/08/2022,L,48,116.3,126.9,-10.6,57.8,1.73,18.3,28.6,79.5,51.1,14.4,56,59.5,104,44.8
BKN,BKN @ CHA,03/08/2022,W,48,126.9,116.3,10.6,71.7,2.06,22.8,20.5,71.4,48.9,15.4,67.1,69.6,104,55.2
CLE,CLE @ IND,03/08/2022,W,48,128.3,124,4.3,53.2,3.13,17.9,34.7,60,46.8,8.1,54.8,60,99.5,52.3
NOP,NOP @ MEM,03/08/2022,L,48,109.9,128.2,-18.3,58.5,1.6,17.3,26.9,63.6,45.8,14.9,52.8,55.6,102,42.6
MIL,MIL @ OKC,03/08/2022,W,48,135.2,109.5,25.7,66,2.69,22.3,36,86.4,59.6,12.4,63,65.3,105,60.7
IND,IND vs. CLE,03/08/2022,L,48,124,128.3,-4.3,71.4,1.94,23,40,65.3,53.2,18,62.6,63.5,99.5,47.7
MEM,MEM vs. NOP,03/08/2022,W,48,128.2,109.9,18.3,62.5,2.5,19.6,36.4,73.1,54.2,11.7,55.4,59.2,102,57.4
DEN,DEN vs. GSW,03/07/2022,W,48,128.4,122.8,5.7,84.8,4.33,25.7,25,80,52.8,8.8,60.7,64.2,101.5,56.9
PHI,PHI vs. CHI,03/07/2022,W,48,123.5,107.1,16.4,70.7,2.9,20.9,25.5,65.3,45.8,10.2,56,61.1,98.5,57
POR,POR @ MIN,03/07/2022,L,48,72.3,112.7,-40.4,47.8,0.61,8.2,17.5,60.3,38,16.1,31.9,40.6,111,18.6
HOU,HOU @ MIA,03/07/2022,L,48,109.3,126.8,-17.5,56.4,2,16.8,23.1,64.3,41.5,11.3,51.7,54.3,97,39
NYK,NYK @ SAC,03/07/2022,W,48,127.2,111.7,15.5,40.4,2.11,14.4,20.8,87.2,53.7,8.7,60.9,64.1,103,52.7
MIN,MIN vs. POR,03/07/2022,W,48,112.7,72.3,40.4,55.3,0.95,13.6,39.7,82.5,62,20,48.4,55.7,111,81.4
DAL,DAL vs. UTA,03/07/2022,W,48,118.1,112,6.1,48.7,2.11,14.8,30,72.5,51.5,9.6,54,57.3,93,53
GSW,GSW @ DEN,03/07/2022,L,48,122.8,128.4,-5.7,64.4,2.07,20.9,20,75,47.2,13.9,60.8,63.2,101.5,43.1
LAL,LAL @ SAS,03/07/2022,L,48,106.8,113.6,-6.8,44.2,1.27,14,27.5,68.9,46.9,14.6,51.6,54.4,103,42.2
SAS,SAS vs. LAL,03/07/2022,W,48,113.6,106.8,6.8,60.9,1.56,19.4,31.1,72.5,53.1,17.5,60.1,60.2,103,57.8
CHI,CHI @ PHI,03/07/2022,L,48,107.1,123.5,-16.4,56.4,1.69,15.9,34.7,74.5,54.2,13.1,49.4,53.8,98.5,43
ATL,ATL @ DET,03/07/2022,L,53,110,111.9,-1.9,66.7,2,19,36.5,64.8,50.9,14,51.1,53.6,91.02,50
SAC,SAC vs. NYK,03/07/2022,L,48,111.7,127.2,-15.5,59,1.92,17.4,12.8,79.2,46.3,11.7,55.6,60,103,47.3
MIA,MIA vs. HOU,03/07/2022,W,48,126.8,109.3,17.5,53.1,1.73,18.8,35.7,76.9,58.5,15.5,61.5,63.3,97,61
DET,DET vs. ATL,03/07/2022,W,53,111.9,110,1.9,62.8,1.93,18.4,35.2,63.5,49.1,13.9,52.7,54.8,91.02,50
UTA,UTA @ DAL,03/07/2022,L,48,112,118.1,-6.1,61.1,1.57,17.2,27.5,70,48.5,15.2,50.6,55,93,47
WAS,WAS vs. IND,03/06/2022,W,48,133,123,10,73.3,5.5,23.4,18.2,76.7,47.1,6,62.2,66.4,100,54
CLE,CLE vs. TOR,03/06/2022,W,48,107.2,99,8.2,61.5,1.26,17.1,36.5,74.2,57,19.6,52.4,54.7,97,56.3
TOR,TOR @ CLE,03/06/2022,L,48,99,107.2,-8.2,45.9,2.43,13.2,25.8,63.5,43,7.2,42.6,45.5,97,43.7
LAC,LAC vs. NYK,03/06/2022,L,48,96.9,120.8,-24,51.5,1.7,13.5,22,66.7,43.4,10.4,43.8,47.6,96,36
BKN,BKN @ BOS,03/06/2022,L,48,118.8,126,-7.2,53.3,1.5,17.1,33.3,76.1,54.9,15.8,57.3,61.3,100.5,47.4
BOS,BOS vs. BKN,03/06/2022,W,48,126,118.8,7.2,62.5,2.5,18.4,23.9,66.7,45.1,10,58.4,63.2,100.5,52.6
OKC,OKC vs. UTA,03/06/2022,L,48,108.4,120.8,-12.4,51.3,2.5,15.5,28.3,72.5,50,8.4,46.7,51.3,95.5,47.9
MIL,MIL vs. PHX,03/06/2022,W,48,132,120.8,11.2,66,2.07,21.1,39,77.8,59.3,15,62.6,66.2,100.5,54.8
DEN,DEN vs. NOP,03/06/2022,W,53,124.3,116.1,8.3,68.1,2.13,20.8,23.4,71.9,50,13.5,59.8,65.1,100.98,55.4
UTA,UTA @ OKC,03/06/2022,W,48,120.8,108.4,12.4,67.5,2.45,20,27.5,71.7,50,11.5,57.9,60.1,95.5,52.1
MEM,MEM @ HOU,03/06/2022,L,48,108.7,120.6,-11.9,61.4,2.45,18.2,33.3,67.4,48,10.7,47.9,51.4,102.5,46.5
PHX,PHX @ MIL,03/06/2022,L,48,120.8,132,-11.2,66,3,23.1,22.2,61,40.7,10.9,61.3,62.3,100.5,45.2
NOP,NOP @ DEN,03/06/2022,L,53,116.1,124.3,-8.3,62.5,2.14,19,28.1,76.6,50,12.5,54.5,57.1,100.98,44.6
IND,IND @ WAS,03/06/2022,L,48,123,133,-10,63.6,2.8,20.3,23.3,81.8,52.9,10,57.6,62.9,100,46
HOU,HOU vs. MEM,03/06/2022,W,48,120.6,108.7,11.9,53.5,1.35,16.5,32.6,66.7,52,16.7,60.4,62.9,102.5,53.5
NYK,NYK @ LAC,03/06/2022,W,48,120.8,96.9,24,45.2,1.9,14.3,33.3,78,56.6,10.4,54.5,56.8,96,64
ORL,ORL @ MEM,03/05/2022,L,48,93.2,120.4,-27.2,67.6,2.08,19.2,5.8,78.8,42.3,11.7,49.4,51.6,103,39
PHI,PHI @ MIA,03/05/2022,L,48,91.1,111.2,-20.1,46.4,1.08,10.8,30.4,81.1,50.5,13.3,38.4,44.5,89.5,37.7
GSW,GSW @ LAL,03/05/2022,L,48,110.5,120.4,-9.9,47.8,1.38,15.7,25.5,67.4,45.4,15.2,58.2,57.8,104,44.8
SAS,SAS @ CHA,03/05/2022,L,48,114.7,120.6,-5.9,62.2,2.8,19.4,25.5,76.9,50.5,9.8,51.5,54.8,102,47.4
CHA,CHA vs. SAS,03/05/2022,W,48,120.6,114.7,5.9,69,3.22,20.3,23.1,74.5,49.5,8.8,54.9,59.3,102,52.6
MIN,MIN vs. POR,03/05/2022,W,48,136.4,123.5,12.9,75,3.27,25,22,71.4,48.9,11.1,65.3,69,98.5,60.4
SAC,SAC @ DAL,03/05/2022,L,48,116.5,117.5,-1,52.2,1.5,17.1,38,76.6,56.7,16.5,53.7,55.4,97,47.1
MIA,MIA vs. PHI,03/05/2022,W,48,111.2,91.1,20.1,57.1,1.43,17.2,18.9,69.6,49.5,15.7,57.6,61.6,89.5,62.3
MEM,MEM vs. ORL,03/05/2022,W,48,120.4,93.2,27.2,54.3,3.13,18,21.2,94.2,57.7,7.8,57.6,59.7,103,61
LAL,LAL vs. GSW,03/05/2022,W,48,120.4,110.5,9.9,56.8,1.25,17.5,32.6,74.5,54.6,19.4,59.6,63.1,104,55.2
DAL,DAL vs. SAC,03/05/2022,W,48,117.5,116.5,1,55,2.2,16.9,23.4,62,43.3,10.3,56,59.4,97,52.9
POR,POR @ MIN,03/05/2022,L,48,123.5,136.4,-12.9,60,1.5,17.8,28.6,78,51.1,16.3,56.5,61.6,98.5,39.6
ORL,ORL @ TOR,03/04/2022,W,48,101,96,4.9,66.7,2.18,16.9,27.1,78,52.5,10.8,43.7,49.4,101.5,53.7
CHI,CHI vs. MIL,03/04/2022,L,48,109.8,115.7,-5.9,53.2,2.08,18.5,18,69.2,44.1,11.8,55.3,56.7,102,48.5
PHI,PHI vs. CLE,03/04/2022,W,48,128.9,121.4,7.4,56.1,1.92,18.7,8.6,75,44,12.4,64,70.2,97.5,49.1
HOU,HOU @ DEN,03/04/2022,L,48,103.1,120.8,-17.8,65.8,1.67,18.4,27.7,75.5,52.1,15.3,51.8,54.5,97,43.7
IND,IND @ DET,03/04/2022,L,48,109.3,113.3,-4,61.5,1.71,15.8,47.7,64.3,55.4,14.4,44,47.2,97.5,45.6
NOP,NOP vs. UTA,03/04/2022,W,48,126.5,90.9,35.6,58,2.64,20,38,58.5,49.6,11.2,57.2,59.3,98.5,70.8
DEN,DEN vs. HOU,03/04/2022,W,48,120.8,103.1,17.8,69.2,2.7,20,24.5,72.3,47.9,10.4,52.9,58.2,97,56.3
ATL,ATL @ WAS,03/04/2022,W,48,124.5,120,4.5,47.4,4.5,13.8,32.7,76.9,51.1,4.3,48.9,55.2,94.5,46.6
TOR,TOR vs. ORL,03/04/2022,L,48,96,101,-4.9,59.5,1.83,16.2,22,72.9,47.5,11.9,46.2,48.3,101.5,46.3
OKC,OKC vs. MIN,03/04/2022,L,48,93.5,130.2,-36.7,51.4,0.83,13.6,28,72.7,48.9,21.3,48.3,53,107,34.4
PHX,PHX vs. NYK,03/04/2022,W,48,113.9,112.9,1,73.7,2.8,20.6,14.6,70.6,43.4,9.9,54.7,59.4,101,50.1
DET,DET vs. IND,03/04/2022,W,48,113.3,109.3,4,66.7,2.15,19.2,35.7,52.3,44.6,13.3,52.7,54.5,97.5,54.4
UTA,UTA @ NOP,03/04/2022,L,48,90.9,126.5,-35.6,48.4,0.71,10.7,41.5,62,50.4,21.2,41,44.8,98.5,29.2
MIN,MIN @ OKC,03/04/2022,W,48,130.2,93.5,36.7,71.4,1.94,22.9,27.3,72,51.1,17,65.9,68.2,107,65.6
NYK,NYK @ PHX,03/04/2022,L,48,112.9,113.9,-1,57.5,1.64,16.5,29.4,85.4,56.6,13.9,54.1,57.5,101,49.9
MIL,MIL @ CHI,03/04/2022,W,48,115.7,109.8,5.9,46.5,1.43,14.5,30.8,82,55.9,13.7,54.5,57.5,102,51.5
WAS,WAS vs. ATL,03/04/2022,L,48,120,124.5,-4.5,80.4,2.64,26.2,23.1,67.3,48.9,14.7,62.4,64.1,94.5,53.4
CLE,CLE @ PHI,03/04/2022,L,48,121.4,128.9,-7.4,68.2,2.5,21.7,25,91.4,56,12.2,59.8,64.3,97.5,50.9
LAL,LAL @ LAC,03/03/2022,L,48,114.4,134.7,-20.3,63.4,1.86,19.5,22.7,63.6,43.2,14.4,56,59.2,97.5,42.1
BKN,BKN vs. MIA,03/03/2022,L,48,112.6,118.9,-6.3,61.5,1.85,18.3,28.3,71.1,47.6,13.7,54.2,57.7,95,43.1
ATL,ATL vs. CHI,03/03/2022,W,48,134,127.8,6.2,59.1,4.33,19.7,22,73,46.2,6.2,63.1,67.5,97,51.8
GSW,GSW @ DAL,03/03/2022,L,48,124.2,132.6,-8.4,59.1,1.73,20.2,30.8,71.4,51.9,16.5,63.6,65.2,91.5,48
CHI,CHI @ ATL,03/03/2022,L,48,127.8,134,-6.2,57.7,2.14,21.9,27,78,53.8,14.4,67,68.1,97,48.2
SAS,SAS vs. SAC,03/03/2022,L,48,105.7,110.6,-4.9,60.9,2.55,19.9,18,78.3,46.9,10.4,55.9,56,105,46
TOR,TOR vs. DET,03/03/2022,L,48,114,116.1,-2.2,33.3,1.2,9.8,35.3,68.8,51.5,10.8,47.6,53.6,93,45.8
MIA,MIA @ BKN,03/03/2022,W,48,118.9,112.6,6.3,67.5,1.8,20.3,28.9,71.7,52.4,15.8,58.4,63.3,95,56.9
DET,DET @ TOR,03/03/2022,W,48,116.1,114,2.2,65.8,2.5,18.8,31.3,64.7,48.5,10.8,51.8,56.1,93,54.2
DAL,DAL vs. GSW,03/03/2022,W,48,132.6,124.2,8.4,64.4,2.9,21.8,28.6,69.2,48.1,10.9,62.9,65,91.5,52
BOS,BOS vs. MEM,03/03/2022,W,48,129,115.1,14,71.7,2.36,23.2,37.8,63.8,52.4,15.1,60.7,62.8,93,57.5
MEM,MEM @ BOS,03/03/2022,L,48,115.1,129,-14,57.1,3.43,17.4,36.2,62.2,47.6,7.5,49,51.1,93,42.5
SAC,SAC @ SAS,03/03/2022,W,48,110.6,105.7,4.9,66.7,1.86,18.6,21.7,82,53.1,13.5,51.8,58,105,54
LAC,LAC vs. LAL,03/03/2022,W,48,134.7,114.4,20.3,62.7,2.67,21.9,36.4,77.3,56.8,12.2,64,66.3,97.5,57.9
POR,POR @ PHX,03/02/2022,L,48,90,120,-30,73.3,1.16,16.7,19.6,75,45.3,19,45.5,50.6,100,31.5
CHA,CHA @ CLE,03/02/2022,W,48,124,101,22.9,74.4,2.67,23,24.4,82.2,53.3,12.5,60.6,62.8,96.5,60.7
CLE,CLE vs. CHA,03/02/2022,L,48,101,124,-22.9,56.8,1.5,16.9,17.8,75.6,46.7,14.4,53.2,55.5,96.5,39.3
HOU,HOU vs. UTA,03/02/2022,L,53,115.5,118.9,-3.5,62.8,1.59,19,10.9,71.1,40.7,15.5,62.2,64,100.08,44.5
PHX,PHX vs. POR,03/02/2022,W,48,120,90,30,80,2,22.4,25,80.4,54.7,16,58.8,64.1,100,68.5
DEN,DEN vs. OKC,03/02/2022,L,48,103.9,114.4,-10.5,62.5,1.56,18.1,19.2,78.7,47.5,15.5,51.1,54.9,103.5,44.5
SAC,SAC @ NOP,03/02/2022,L,48,96,126.3,-30.3,57.1,1.82,15.3,24.1,70.3,42.1,11.1,43.8,47.5,99,33.3
MIL,MIL vs. MIA,03/02/2022,W,48,115.4,113.3,2.1,53.7,1.83,15.8,25,77.8,51.9,11.5,52.7,58.3,104.5,50.8
NYK,NYK @ PHI,03/02/2022,L,48,110.2,126.8,-16.6,51.3,2,14.8,31,78.9,50,10.2,47.3,51.4,97.5,40.3
IND,IND @ ORL,03/02/2022,W,53,108,100.9,7.1,56.1,1.28,15,29.8,73.2,51.3,15.9,50,55.8,102.34,54.7
NOP,NOP vs. SAC,03/02/2022,W,48,126.3,96,30.3,57.7,1.88,21.4,29.7,75.9,57.9,16.2,65.3,67,99,66.7
PHI,PHI vs. NYK,03/02/2022,W,48,126.8,110.2,16.6,61.5,1.71,18.6,21.1,69,50,14.4,63.3,68.7,97.5,59.7
MIA,MIA @ MIL,03/02/2022,L,48,113.3,115.4,-2.1,63.6,2.33,19.4,22.2,75,48.1,11.4,56.2,58.2,104.5,49.2
OKC,OKC @ DEN,03/02/2022,W,48,114.4,103.9,10.5,54.5,1.6,17.4,21.3,80.8,52.5,14.4,59.8,61.8,103.5,55.5
UTA,UTA @ HOU,03/02/2022,W,53,118.9,115.5,3.5,64,1.68,20.5,28.9,89.1,59.3,17.1,63.2,65,100.08,55.5
ORL,ORL vs. IND,03/02/2022,L,53,100.9,108,-7.1,50,1.1,14.7,26.8,70.2,48.7,17.7,50.5,53.9,102.34,45.3
MIN,MIN vs. GSW,03/01/2022,W,48,121.7,108.6,13.1,57.4,1.69,18.8,25,78.8,54.2,15.1,61.8,65.1,105.5,56.8
BOS,BOS vs. ATL,03/01/2022,W,48,113.8,103.2,10.7,69.2,1.93,20.3,27.3,79.2,54.3,14.9,53.6,58.6,94.5,58.1
GSW,GSW @ MIN,03/01/2022,L,48,108.6,121.7,-13.1,63.4,1.53,18.3,21.2,75,45.8,16.2,52.8,57.2,105.5,43.2
ATL,ATL @ BOS,03/01/2022,L,48,103.2,113.8,-10.7,41.7,1.5,12.6,20.8,72.7,45.7,10.5,47.6,52.4,94.5,41.9
TOR,TOR vs. BKN,03/01/2022,W,48,113.5,114.9,-1.4,65.9,2.08,19,38,79.1,57,13.5,49.4,54.4,95,52.7
LAC,LAC @ HOU,03/01/2022,W,48,110.8,99,11.8,57.1,1.5,16.6,35.2,70,53.5,15.7,50.5,54.6,101.5,58.5
BKN,BKN @ TOR,03/01/2022,L,48,114.9,113.5,1.4,50,1.75,16.9,20.9,62,43,12.8,56,58.5,95,47.3
DAL,DAL @ LAL,03/01/2022,W,48,112.4,109.5,2.9,58.5,1.71,18,26.1,84.8,55.4,14.4,56.1,58.1,96,52.5
LAL,LAL vs. DAL,03/01/2022,L,48,109.5,112.4,-2.9,59.5,1.83,17.7,15.2,73.9,44.6,12.6,53.7,57.3,96,47.5
WAS,WAS vs. DET,03/01/2022,W,48,119.6,117.7,1.9,70.7,1.93,21,31.8,69.4,51.6,15.5,57.9,62.1,96.5,52.3
DET,DET @ WAS,03/01/2022,L,48,117.7,119.6,-1.9,53.5,1.92,17.2,30.6,68.2,48.4,12.5,52.2,56.4,96.5,47.7
HOU,HOU vs. LAC,03/01/2022,L,48,99,110.8,-11.8,55.3,1.5,15,30,64.8,46.5,13.9,46.4,48.3,101.5,41.5
ORL,ORL vs. IND,02/28/2022,W,48,117.8,101,16.8,64.4,2.64,20,30.2,82.1,52.2,10.9,53.1,56.3,101.5,55.7
MIL,MIL vs. CHA,02/28/2022,W,48,126.2,103.9,22.3,62.5,1.92,17,39.6,77.4,60,12.6,53.8,60.6,102.5,64.5
MIA,MIA vs. CHI,02/28/2022,W,48,115.5,101,14.4,70,2,20.7,22.2,72.7,47.2,14.4,56.8,60.6,97.5,56.8
MEM,MEM vs. SAS,02/28/2022,W,48,114.6,101,13.6,50,1.33,17.1,28.9,73.3,54.3,17.5,60.1,60.6,103.5,55.4
CHI,CHI @ MIA,02/28/2022,L,48,101,115.5,-14.4,56.1,1.44,17.4,27.3,77.8,52.8,16.3,53,54.6,97.5,43.2
MIN,MIN @ CLE,02/28/2022,W,48,128.3,122,6.3,63.8,2.31,21.9,22.5,63.2,42.3,13.1,65.1,67.3,99.5,50.1
IND,IND @ ORL,02/28/2022,L,48,101,117.8,-16.8,62.9,1,16.8,17.9,69.8,47.8,21.6,59,62,101.5,44.3
SAC,SAC @ OKC,02/28/2022,W,48,124.8,102.8,22,61.2,1.76,20.5,25.6,74.5,52.1,16.2,62.1,65.4,106,58.6
CHA,CHA @ MIL,02/28/2022,L,48,103.9,126.2,-22.3,61.1,2.44,15.9,22.6,60.4,40,8.8,46.2,49.5,102.5,35.5
BKN,BKN vs. TOR,02/28/2022,L,48,97,131.7,-34.7,69.7,1,16,38.9,60.4,49.5,23,45.3,50.2,100.5,31.8
TOR,TOR @ BKN,02/28/2022,W,48,131.7,97,34.7,68.6,2.69,22.3,39.6,61.1,50.5,12.9,60.6,61.2,100.5,68.3
CLE,CLE vs. MIN,02/28/2022,L,48,122,128.3,-6.3,74.4,1.32,20.6,36.8,77.5,57.7,22,62.8,68.6,99.5,49.9
SAS,SAS @ MEM,02/28/2022,L,48,101,114.6,-13.6,73.2,3.33,20,26.7,71.1,45.7,8.7,46,48.9,103.5,44.6
OKC,OKC vs. SAC,02/28/2022,L,48,102.8,124.8,-22,70,1.65,19,25.5,74.4,47.9,15.9,52.9,56.2,106,41.4
DEN,DEN @ POR,02/27/2022,W,48,117,88.5,28.5,63.6,1.87,19.3,28.9,79,57.9,14.2,58.1,62.2,105,68.9
DET,DET @ CHA,02/27/2022,W,53,115.5,116.7,-1.2,60,2,18.4,40.3,69.4,53.2,13.6,51.8,53.9,98.72,47.8
UTA,UTA @ PHX,02/27/2022,W,48,129.7,126.7,3,52.3,2.3,16.7,45.3,68.2,55.7,11,55.9,57.4,90.5,49.2
GSW,GSW vs. DAL,02/27/2022,L,48,103.1,109.2,-6.1,69.2,2.45,19.4,25.9,81.4,50.5,11.2,48.9,50.6,98,48.2
PHX,PHX vs. UTA,02/27/2022,L,48,126.7,129.7,-3,54.5,2.67,18.8,31.8,54.7,44.3,10,58.7,61.3,90.5,50.8
BOS,BOS @ IND,02/27/2022,L,48,108.1,130.6,-22.5,64.1,2.5,18.1,25.9,66.7,44.4,10.1,49.5,53.6,98.5,44.1
HOU,HOU vs. LAC,02/27/2022,L,48,101,102.1,-1,74.3,3.71,19.5,19.7,73.3,42.5,7.2,47.3,49,97,45.1
IND,IND vs. BOS,02/27/2022,W,48,130.6,108.1,22.5,53.2,1.79,18.2,33.3,74.1,55.6,14.3,61.7,64.8,98.5,55.9
NYK,NYK vs. PHI,02/27/2022,L,48,104.8,119,-14.2,55.3,1.17,15,28.3,86,54.2,17.3,51.2,54.3,104.5,37.3
POR,POR vs. DEN,02/27/2022,L,48,88.5,117,-28.5,64.7,1.47,15.8,21,71.1,42.1,14.4,40.7,44.9,105,31.1
PHI,PHI @ NYK,02/27/2022,W,48,119,104.8,14.2,73.7,2.8,20.3,14,71.7,45.8,9.5,55.1,64.2,104.5,62.7
LAC,LAC @ HOU,02/27/2022,W,48,102.1,101,1,52.9,1,14.2,26.7,80.3,57.5,18.6,51.3,55.4,97,54.9
DAL,DAL @ GSW,02/27/2022,W,48,109.2,103.1,6.1,41,0.89,13.1,18.6,74.1,49.5,18.4,58.3,61.6,98,51.8
LAL,LAL vs. NOP,02/27/2022,L,48,89.6,117.1,-27.5,42.9,0.65,11.4,22,71.4,46.5,21.7,45.8,51.2,105.5,33.6
CHA,CHA vs. DET,02/27/2022,L,53,116.7,115.5,1.2,55.6,1.47,17.1,30.6,59.7,46.8,15.7,57.9,60.6,98.72,52.2
NOP,NOP @ LAL,02/27/2022,W,48,117.1,89.6,27.5,61.7,1.93,19.6,28.6,78,53.5,14.3,58.2,59.7,105.5,66.4
DEN,DEN vs. SAC,02/26/2022,W,48,110.6,105.8,4.8,76.3,1.93,20.4,18.8,76.8,50,14.4,56.1,60.7,104,55.4
MEM,MEM @ CHI,02/26/2022,W,48,109.4,105.8,3.7,52.3,1.64,15.3,37.9,77.2,57.4,13.2,47.5,52,105,53.7
DET,DET vs. BOS,02/26/2022,L,48,108.3,118.9,-10.6,46.2,1.29,13.8,32.7,73.9,52.6,14.6,48.9,53.8,95.5,42.3
MIA,MIA vs. SAS,02/26/2022,W,48,126.7,122.9,3.8,53.2,2.08,18.4,15,63.6,40.5,11.4,63.9,66.7,105,51.7
BKN,BKN @ MIL,02/26/2022,W,48,122.3,119.4,2.9,54.5,2.67,17,26.4,76.7,49,8.7,54.9,59.1,103,50.9
CLE,CLE vs. WAS,02/26/2022,W,48,97.9,92.5,5.4,68.8,1.57,16.8,30.2,80.9,54,14.9,43.4,49.2,93.5,57.4
TOR,TOR @ ATL,02/26/2022,L,48,100,127,-27,65.8,1.92,17.9,27.9,86.1,49.5,13,45.3,48.4,100,32.4
SAC,SAC @ DEN,02/26/2022,L,48,105.8,110.6,-4.8,63.2,1.85,17.1,23.2,81.3,50,12.5,47.8,53.1,104,44.6
BOS,BOS @ DET,02/26/2022,W,48,118.9,108.3,10.6,73.8,3.1,22.5,26.1,67.3,47.4,10.5,53.4,58.1,95.5,57.7
CHI,CHI vs. MEM,02/26/2022,L,48,105.8,109.4,-3.7,43.6,1.7,12.7,22.8,62.1,42.6,9.6,46.8,51.8,105,46.3
ATL,ATL vs. TOR,02/26/2022,W,48,127,100,27,56.3,2.25,20.5,13.9,72.1,50.5,12,65.7,68.5,100,67.6
MIL,MIL vs. BKN,02/26/2022,L,48,119.4,122.3,-2.9,58.5,1.6,17.8,23.3,73.6,51,14.6,62.8,64.9,103,49.1
WAS,WAS @ CLE,02/26/2022,L,48,92.5,97.9,-5.4,54.3,1.06,15.7,19.1,69.8,46,19.4,50,51.4,93.5,42.6
SAS,SAS @ MIA,02/26/2022,L,48,122.9,126.7,-3.8,66,1.5,21.4,36.4,85,59.5,21,63.3,65.6,105,48.3
OKC,OKC @ IND,02/25/2022,W,53,115.2,110.6,4.6,46,2.09,15.5,24.1,78.9,52.3,9.8,55,57.8,101.89,50.5
NYK,NYK vs. MIA,02/25/2022,L,48,97.1,111.7,-14.6,63.3,1.06,14.5,18,87.2,51.5,17.5,49.3,55,103,37.8
IND,IND vs. OKC,02/25/2022,L,53,110.6,115.2,-4.6,63.3,2.21,19.9,21.1,75.9,47.7,12.4,55.4,56.5,101.89,49.5
WAS,WAS vs. SAS,02/25/2022,L,58,123.4,128.7,-5.3,61,2.25,20.6,28.8,63,46.2,12.9,62,64.5,101.79,48.3
NOP,NOP @ PHX,02/25/2022,W,48,118.2,104.1,14.1,55.3,1.91,14.9,40.4,77.6,58.4,11.1,48.3,55.7,98.5,59.1
CHA,CHA vs. TOR,02/25/2022,W,48,122.5,91.2,31.4,65.4,1.89,22.7,34.1,78,57.4,17.6,63.3,63.8,102,67.8
DAL,DAL @ UTA,02/25/2022,L,48,117.2,121.3,-4.1,52.4,1.83,17.5,23.9,69.4,43.9,12.9,57.4,59.5,93.5,43.2
PHX,PHX vs. NOP,02/25/2022,L,48,104.1,118.2,-14.1,63.9,1.64,17.4,22.4,59.6,41.6,14.3,51.2,55.1,98.5,40.9
MIN,MIN vs. PHI,02/25/2022,L,48,100,130.4,-30.4,63.9,1.44,16.8,23.1,79.5,49,15.7,47.1,52.6,102,34.5
MIA,MIA @ NYK,02/25/2022,W,48,111.7,97.1,14.6,56.4,2.2,16.9,12.8,82,48.5,9.7,53.6,58.4,103,62.2
TOR,TOR @ CHA,02/25/2022,L,48,91.2,122.5,-31.4,48.6,1.06,13.8,22,65.9,42.6,16.7,47.6,49.4,102,32.2
LAL,LAL vs. LAC,02/25/2022,L,48,101,102.9,-2,46.2,1.5,13.5,24.6,77.8,48,11.9,46.2,49.9,101.5,45.3
PHI,PHI @ MIN,02/25/2022,W,48,130.4,100,30.4,71.4,2.5,21.3,20.5,76.9,51,11.8,62.8,68,102,65.5
HOU,HOU @ ORL,02/25/2022,L,48,106.7,113.3,-6.6,50,1.69,16.1,21.1,74.4,44,12.5,54.3,54,104.5,43.9
LAC,LAC @ LAL,02/25/2022,W,48,102.9,101,2,61,1.47,18.2,22.2,75.4,52,16.7,55.4,57.5,101.5,54.7
ORL,ORL vs. HOU,02/25/2022,W,48,113.3,106.7,6.6,47.6,1.05,14.7,25.6,78.9,56,18.1,58.4,62.1,104.5,56.1
UTA,UTA vs. DAL,02/25/2022,W,48,121.3,117.2,4.1,55,1.22,17.5,30.6,76.1,56.1,19.1,64.9,68.1,93.5,56.8
SAS,SAS @ WAS,02/25/2022,W,58,128.7,123.4,5.3,61.4,2.06,19.8,37,71.2,53.8,13.9,58.6,63.3,101.79,51.7
MEM,MEM @ MIN,02/24/2022,L,48,112.9,119,-6.1,65.8,1.56,15.7,49.3,66,56.7,15.8,43.4,49.3,100.5,48.4
CHI,CHI vs. ATL,02/24/2022,W,48,112,109.1,2.9,39,1.78,12.9,20.5,63.3,45.2,9,53.6,58.4,99.5,56.5
PHX,PHX @ OKC,02/24/2022,W,48,117,97.2,19.8,69.6,2,22.4,12.2,81.6,50,15.1,61,65.1,106.5,61.2
DET,DET vs. CLE,02/24/2022,W,48,110.4,108.4,2,65.7,2.09,17,32.1,79.6,54.9,11.5,47.1,53.9,95.5,53.7
SAC,SAC vs. DEN,02/24/2022,L,48,106.8,123.1,-16.3,58.1,1.67,18.7,15.9,74.4,43.4,14.6,55.2,58.6,103.5,43.2
