TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
TOR,TOR vs. DEN,08/14/2020,W,48,117,109,8,60,1.42,18.8,34,75.5,55.3,19,60,60.8,100,50.7
HOU,HOU vs. PHI,08/14/2020,L,48,93.2,128.8,-35.6,71.4,1.47,19.2,4.3,70,34.9,16.5,51.3,55.1,103.5,35.6
DEN,DEN @ TOR,08/14/2020,L,48,109,117,-8,75,1.69,19.3,24.5,66,44.7,16,50.6,56.1,100,49.3
PHI,PHI @ HOU,08/14/2020,W,48,128.8,93.2,35.6,63.3,1.94,21.1,30,95.7,65.1,15.4,66.7,69.3,103.5,64.4
MIA,MIA @ IND,08/14/2020,L,48,91.1,107.9,-16.8,45.2,0.74,10.6,29.5,71.4,48.2,18.8,41.4,46.5,101,36.3
IND,IND vs. MIA,08/14/2020,W,48,107.9,91.1,16.8,74.4,1.6,21.8,28.6,70.5,51.8,19.8,56.7,58.1,101,63.7
OKC,OKC @ LAC,08/14/2020,L,53,89.6,94.7,-5.1,47.4,1.13,11.8,28.2,74.1,48.8,13.9,42.5,44.5,103.25,36
LAC,LAC vs. OKC,08/14/2020,W,53,94.7,89.6,5.1,67.6,1,15.2,25.9,71.8,51.2,20.4,47.1,52.4,103.25,64
LAL,LAL vs. SAC,08/13/2020,L,48,115.1,128.3,-13.2,60.4,1.71,19.3,32.7,75,52.1,16,56.6,58.3,106,41.9
BOS,BOS vs. WAS,08/13/2020,L,48,90.9,97,-6.1,62.9,1.16,16.2,27.3,66.1,47.4,19.2,44.3,47.8,99,47.8
PHX,PHX vs. DAL,08/13/2020,W,48,132,106.3,25.7,69.4,5.67,24.1,23.3,75,51.6,6.2,62.9,65.1,96.5,64.8
SAS,SAS @ UTA,08/13/2020,L,48,112,116.8,-4.8,61.5,1.6,17.8,23.4,70.4,48.5,15,55.7,59,100.5,48.5
WAS,WAS @ BOS,08/13/2020,W,48,97,90.9,6.1,64.7,1.22,15.6,33.9,72.7,52.6,18.2,44.3,48.7,99,52.2
MEM,MEM vs. MIL,08/13/2020,W,48,108.2,96.4,11.8,80,2,22.9,22.4,79.4,54.5,16.4,57.2,59.4,110,60.9
NOP,NOP @ ORL,08/13/2020,L,48,125.7,130.4,-4.6,45.8,1.69,16.3,30,75.6,53.1,12.9,60.9,64.2,101.5,49
UTA,UTA vs. SAS,08/13/2020,W,48,116.8,112,4.8,53.2,2.78,17.7,29.6,76.6,51.5,8.9,54,56,100.5,51.5
ORL,ORL vs. NOP,08/13/2020,W,48,130.4,125.7,4.6,52.1,2.08,18.4,24.4,70,46.9,11.8,66.1,68.4,101.5,51
POR,POR @ BKN,08/13/2020,W,48,128.8,127.9,1,50,2.78,16.8,37.5,66,50.5,8.7,54.3,58.5,104,49.3
BKN,BKN vs. POR,08/13/2020,L,48,127.9,128.8,-1,52.8,2,18.9,34,62.5,49.5,13.5,62.5,63.7,104,50.7
DAL,DAL @ PHX,08/13/2020,L,48,106.3,132,-25.7,43.6,1.55,13.5,25,76.7,48.4,11.5,48.3,52.4,96.5,35.2
SAC,SAC @ LAL,08/13/2020,W,48,128.3,115.1,13.2,68.5,2.47,24.2,25,67.3,47.9,14.2,67.9,67.8,106,58.1
MIL,MIL @ MEM,08/13/2020,L,48,96.4,108.2,-11.8,69.2,1.8,18,20.6,77.6,45.5,13.6,46.4,49,110,39.1
LAC,LAC @ DEN,08/12/2020,W,48,127.8,114.4,13.4,63,3.63,21.8,17.5,76.6,49.4,8.2,62.4,65.2,97,54.2
OKC,OKC vs. MIA,08/12/2020,W,48,116,113.9,2.1,51.3,1.25,14.5,34,82.6,56.6,16,52.8,57.5,100.5,47.3
HOU,HOU vs. IND,08/12/2020,L,48,95.4,99.1,-3.7,62.5,1,14.5,20,70.5,46.6,18.3,46.5,52.9,109,46.8
IND,IND @ HOU,08/12/2020,W,48,99.1,95.4,3.7,62.5,1.67,16.4,29.5,80,53.4,13.8,45.5,49.2,109,53.2
MIA,MIA @ OKC,08/12/2020,L,48,113.9,116,-2.1,57.1,2,18.2,17.4,66,43.4,11.9,57,60.7,100.5,52.7
PHI,PHI vs. TOR,08/12/2020,L,48,115.2,119,-3.8,69.2,1.59,19.1,20.8,72.7,48.5,16.2,56.5,61.4,105,49.7
TOR,TOR @ PHI,08/12/2020,W,48,119,115.2,3.8,70,2.33,18.9,27.3,79.2,51.5,11.4,54.4,58.1,105,50.3
DEN,DEN vs. LAC,08/12/2020,L,48,114.4,127.8,-13.4,76.7,2.75,23.6,23.4,82.5,50.6,12.4,56.9,58.2,97,45.8
HOU,HOU @ SAS,08/11/2020,L,48,92.1,107.9,-15.8,50,1,13.1,9.1,75.5,40.4,15.8,48.3,53.4,114,39.1
ORL,ORL vs. BKN,08/11/2020,L,48,95,106.9,-11.9,40.6,0.76,10.2,26.4,75.5,50.9,16.8,42.8,50.1,101,40.7
PHX,PHX @ PHI,08/11/2020,W,48,139.8,128.6,11.2,57.1,4,20.7,36.6,66.7,53.3,7.5,61.8,66.2,92,57.5
DAL,DAL vs. POR,08/11/2020,L,48,124.8,125.2,-0.5,66.7,1.65,20,16.3,71.2,46.3,16.2,64.2,68.6,106,50.8
NOP,NOP @ SAC,08/11/2020,L,48,103.9,109.8,-5.9,59.5,1.32,18.4,21.4,65.2,44.3,18.6,55.5,58.7,102,49.3
PHI,PHI vs. PHX,08/11/2020,L,48,128.6,139.8,-11.2,60.9,3.11,20.6,33.3,63.4,46.7,9.9,57.5,59,92,42.5
BOS,BOS @ MEM,08/11/2020,W,48,127.1,110.3,16.8,65.9,1.93,20.9,30.4,70.7,52.9,15.6,60.5,63.5,96.5,54.4
POR,POR @ DAL,08/11/2020,W,48,125.2,124.8,0.5,39.1,2.25,13,28.8,83.7,53.7,7.5,54.6,60.5,106,49.2
WAS,WAS vs. MIL,08/11/2020,L,48,105.6,116.7,-11.1,56.4,2,15.4,23.7,75,46.7,10.3,47.4,52.2,107.5,41.3
BKN,BKN @ ORL,08/11/2020,W,48,106.9,95,11.9,68.4,1.73,18.6,24.5,73.6,49.1,14.9,50,54.2,101,59.3
MIL,MIL @ WAS,08/11/2020,W,48,116.7,105.6,11.1,56.8,1.67,17.4,25,76.3,53.3,13.9,60.9,63.4,107.5,58.7
SAS,SAS vs. HOU,08/11/2020,W,48,107.9,92.1,15.8,60.9,1.27,18.3,24.5,90.9,59.6,19.3,56.5,60.4,114,60.9
MEM,MEM vs. BOS,08/11/2020,L,48,110.3,127.1,-16.8,74.3,3.25,18.6,29.3,69.6,47.1,8.2,43.3,50.6,96.5,45.6
SAC,SAC vs. NOP,08/11/2020,W,48,109.8,103.9,5.9,62.8,1.29,18.6,34.8,78.6,55.7,20.6,55.1,58.9,102,50.7
LAL,LAL vs. DEN,08/10/2020,W,48,137.8,133,4.8,63.6,2.8,20.9,38.1,60,48.1,11.1,63,65.2,90.5,49.6
DAL,DAL @ UTA,08/10/2020,W,48,131.2,122.6,8.6,60.4,3.63,22.1,23.7,72.7,50,8.6,63.5,66.3,93,53.8
TOR,TOR @ MIL,08/10/2020,W,48,108.6,99.1,9.5,57.1,1.71,16.3,30.5,73.2,51.3,13.3,49.5,52.6,106,53.8
MIA,MIA vs. IND,08/10/2020,W,48,110.7,90.2,20.5,65.9,2.07,19.3,32.8,82.1,57,13.6,51.5,53.6,102.5,64.3
IND,IND @ MIA,08/10/2020,L,48,90.2,110.7,-20.5,60.6,1.18,15.3,17.9,67.2,43,16.7,45.2,48.4,102.5,35.7
DEN,DEN @ LAL,08/10/2020,L,48,133,137.8,-4.8,60,1.93,20.5,40,61.9,51.9,15.4,66.9,69.4,90.5,50.4
PHX,PHX vs. OKC,08/10/2020,W,48,118.5,92.7,25.9,69,1.45,19.2,29.2,79.3,56.6,18.5,56.7,62.9,108.5,63.7
UTA,UTA vs. DAL,08/10/2020,L,48,122.6,131.2,-8.6,71.8,2.33,21.2,27.3,76.3,50,12.9,60.4,62.8,93,46.2
MIL,MIL vs. TOR,08/10/2020,L,48,99.1,108.6,-9.5,75.8,1.32,17,26.8,69.5,48.7,17.8,47.6,53.3,106,46.2
OKC,OKC @ PHX,08/10/2020,L,48,92.7,118.5,-25.9,68.6,1.26,16.7,20.7,70.8,43.4,17.4,46.1,50.9,108.5,36.3
NOP,NOP vs. SAS,08/09/2020,L,48,105.6,111.9,-6.3,71.4,1.5,19.2,33.9,65.3,48.6,18.7,50,53.5,108,44.1
WAS,WAS @ OKC,08/09/2020,L,48,104,122.2,-18.2,60.5,1.44,16.2,35.1,78.6,53.5,16.2,46.2,50.6,99,40.2
SAS,SAS @ NOP,08/09/2020,W,48,111.9,105.6,6.3,55,1.29,14.9,34.7,66.1,51.4,15.6,51.1,59.2,108,55.9
BOS,BOS vs. ORL,08/09/2020,W,53,110.9,106.3,4.7,71.1,2.46,20.3,27.1,68.3,48.4,11.8,50,54.2,100.53,56.3
LAC,LAC vs. BKN,08/09/2020,L,48,122.4,129,-6.6,51.1,2.3,17.4,22,73.2,45.1,10.2,55.4,58.9,99,45.4
POR,POR vs. PHI,08/09/2020,W,48,121.6,118.6,2.9,44.2,1.9,14.5,24,66,45.6,9.8,53.3,59.8,102,53.2
MEM,MEM @ TOR,08/09/2020,L,48,92.5,100.9,-8.4,64.9,1.09,16.6,26.3,85.4,51,20.6,48.4,50.5,107,41
PHI,PHI @ POR,08/09/2020,L,48,118.6,121.6,-2.9,51.1,1.6,16.7,34,76,54.4,14.7,55.7,57.9,102,46.8
BKN,BKN @ LAC,08/09/2020,W,48,129,122.4,6.6,68.1,2,22.4,26.8,78,54.9,16,67.1,69.1,99,54.6
TOR,TOR vs. MEM,08/09/2020,W,48,100.9,92.5,8.4,73.5,0.96,18.1,14.6,73.7,49,24.3,58.5,63.1,107,59
HOU,HOU @ SAC,08/09/2020,W,48,116.2,101.8,14.4,48.8,1.4,14.7,21.6,87.2,53.1,13.5,57.1,61.9,110.5,54.1
OKC,OKC vs. WAS,08/09/2020,W,48,122.2,104,18.2,58.1,2.08,18.8,21.4,64.9,46.5,12.1,61.9,64.6,99,59.8
SAC,SAC vs. HOU,08/09/2020,L,48,101.8,116.2,-14.4,70.7,1.61,20,12.8,78.4,46.9,16.4,52.9,57.7,110.5,45.9
ORL,ORL @ BOS,08/09/2020,L,53,106.3,110.9,-4.7,58.5,1.71,15.4,31.7,72.9,51.6,12.5,47.5,52.5,100.53,43.7
UTA,UTA @ DEN,08/08/2020,L,58,110,110.7,-0.7,72.3,1.48,20,30.6,76.7,53.3,19.2,55.2,57.6,99.72,45.1
DEN,DEN vs. UTA,08/08/2020,W,58,110.7,110,0.7,56.9,2.64,17.8,23.3,69.4,46.7,9.1,51.4,55.3,99.72,54.9
POR,POR vs. LAC,08/08/2020,L,48,115.8,120.8,-5,54.5,2.18,17.8,20.8,72.3,46.3,10.9,58.3,60,101,46.8
