TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
MIL,MIL @ DAL,08/08/2020,L,53,114.8,117.2,-2.5,55.3,2,17.2,20,70.1,47.5,11.3,55.1,57.9,104.6,47.4
PHX,PHX @ MIA,08/08/2020,W,48,119,110.9,8.1,61.4,2.45,19.3,27.1,87,56.4,11,54.3,59,100.5,52.4
LAL,LAL @ IND,08/08/2020,L,48,108.8,113.7,-4.9,47.6,1.33,13.8,38.3,75,53,14.7,48.5,51.2,102,44.5
IND,IND vs. LAL,08/08/2020,W,48,113.7,108.8,4.9,56.8,1.25,18.4,25,61.7,47,19.6,61.3,64.3,102,55.5
DAL,DAL vs. MIL,08/08/2020,W,53,117.2,114.8,2.5,77.1,5.29,21.5,29.9,80,52.5,6,49.1,54,104.6,52.6
LAC,LAC @ POR,08/08/2020,W,48,120.8,115.8,5,57.1,1.71,17.4,27.7,79.2,53.7,13.9,58.2,62.7,101,53.2
MIA,MIA vs. PHX,08/08/2020,L,48,110.9,119,-8.1,68.3,2.33,20.7,13,72.9,43.6,11.9,55.4,59.8,100.5,47.6
SAS,SAS vs. UTA,08/07/2020,W,48,113.3,105.7,7.6,60,2.08,19.1,20.4,75.4,50,12.4,55.6,59.2,105,55.4
NOP,NOP vs. WAS,08/07/2020,W,48,114.6,103.9,10.7,59.5,1.25,17.2,34,73.1,53.9,19.4,54.5,59.3,103,57.3
PHI,PHI vs. ORL,08/07/2020,W,48,110.2,104.1,6.1,50,2.11,13.7,35.5,73.1,52.6,9.2,45.2,50.2,97.5,53
WAS,WAS @ NOP,08/07/2020,L,48,103.9,114.6,-10.7,57.9,1.38,15.8,26.9,66,46.1,15.5,47.8,53.4,103,42.7
BOS,BOS @ TOR,08/07/2020,W,48,117.3,94.3,23,57.4,1.8,18.9,23.5,81.5,53.3,14.4,57.3,59.2,105,57.6
ORL,ORL @ PHI,08/07/2020,L,48,104.1,110.2,-6.1,45.9,1.55,13.3,26.9,64.5,47.4,11.3,46.6,51,97.5,47
TOR,TOR vs. BOS,08/07/2020,L,48,94.3,117.3,-23,52.6,1.11,14.7,18.5,76.5,46.7,17,48.3,51.8,105,42.4
SAC,SAC @ BKN,08/07/2020,L,48,105,116.7,-11.7,50,1.27,14.1,27.8,80,52.9,14.9,49.4,53.2,101.5,40.3
BKN,BKN vs. SAC,08/07/2020,W,48,116.7,105,11.7,71.4,2.73,21.1,20,72.2,47.1,10.8,58.7,60.5,101.5,59.7
UTA,UTA @ SAS,08/07/2020,L,48,105.7,113.3,-7.6,65.8,1.56,17.4,24.6,79.6,50,15.2,50.5,54.6,105,44.6
OKC,OKC @ MEM,08/07/2020,L,48,92,121,-29,55.9,1.9,14.1,25,65.8,40.2,10,41.8,44.4,100,31
MEM,MEM vs. OKC,08/07/2020,W,48,121,92,29,52.2,1.2,17.5,34.2,75,59.8,20,62,65.9,100,69
LAL,LAL @ HOU,08/06/2020,L,48,92.4,106.6,-14.2,51.4,0.72,13.1,30.4,77.6,54.7,23.8,46.8,52.2,105.5,46.1
IND,IND @ PHX,08/06/2020,L,48,96.1,110.7,-14.6,54.1,1.33,15.6,12,68,40,14.6,49.4,53,103,40.2
POR,POR @ DEN,08/06/2020,W,48,133,121.1,11.9,69.8,3.33,21.4,32,67.4,48.4,9.6,59.2,62,94.5,52
MIL,MIL vs. MIA,08/06/2020,W,48,121.5,109.4,12.1,65.9,1.93,19.3,15.4,81.6,52.3,13.1,62.2,68.6,106.5,59.2
HOU,HOU vs. LAL,08/06/2020,W,48,106.6,92.4,14.2,72.2,1.3,18.2,22.4,69.6,45.3,18.9,55.4,60,105.5,53.9
MIA,MIA @ MIL,08/06/2020,L,48,109.4,121.5,-12.1,80,1.47,19.6,18.4,84.6,47.7,17.9,54.8,61.1,106.5,40.8
PHX,PHX vs. IND,08/06/2020,W,48,110.7,96.1,14.6,62.8,1.69,18.6,32,88,60,15.5,51.6,56.5,103,59.8
LAC,LAC @ DAL,08/06/2020,W,48,131.3,116.8,14.4,44,2.75,17.1,30.2,80.4,57.4,8.3,62,63.9,95.5,55.6
SAC,SAC vs. NOP,08/06/2020,W,48,137.3,123.8,13.5,52,3.25,17.9,37,78.4,55.4,7.8,62.4,65.1,101.5,55.5
NOP,NOP @ SAC,08/06/2020,L,48,123.8,137.3,-13.5,66,1.82,22.1,21.6,63,44.6,16.8,65.9,67.8,101.5,44.5
DEN,DEN vs. POR,08/06/2020,L,48,121.1,133,-11.9,68.2,1.88,22.1,32.6,68,51.6,16.8,60.7,62.9,94.5,48
DAL,DAL vs. LAC,08/06/2020,L,48,116.8,131.3,-14.4,61.5,3,18.6,19.6,69.8,42.6,8.4,54.6,57.7,95.5,44.4
TOR,TOR @ ORL,08/05/2020,W,48,104.8,96.1,8.7,65.8,1.67,18.7,11.6,81.8,51,14.4,56.4,59.8,103.5,56.8
SAS,SAS vs. DEN,08/05/2020,L,48,124.8,132,-7.2,63,3.22,19.9,32.7,65.1,47.8,8.9,55.4,60.1,100.5,47.2
WAS,WAS vs. PHI,08/05/2020,L,48,96.1,104.9,-8.8,47.2,1.13,13.1,22.4,79.6,51,14.7,46.5,51.3,102,43.3
OKC,OKC @ LAL,08/05/2020,W,48,102.9,84.3,18.6,50,1.21,13.4,16.7,81,53.2,13.7,46.2,55.4,102,65.5
PHI,PHI @ WAS,08/05/2020,W,48,104.9,96.1,8.8,71.1,1.93,19.4,20.4,77.6,49,13.7,53,56.5,102,56.7
ORL,ORL vs. TOR,08/05/2020,L,48,96.1,104.8,-8.7,74.3,2,18.7,18.2,88.4,49,12.6,46.6,50.3,103.5,43.2
DEN,DEN @ SAS,08/05/2020,W,48,132,124.8,7.2,62,2.21,21.2,34.9,67.3,52.2,14,62.6,65.8,100.5,52.8
MEM,MEM @ UTA,08/05/2020,L,48,110.6,117,-6.4,48.8,1.5,15.3,24.5,68.1,45.8,13.5,53.3,56.4,105,44.1
BOS,BOS vs. BKN,08/05/2020,W,48,136.7,106.5,30.2,58,2.07,19.7,24.4,75.5,53.2,12.8,68.2,72.1,108.5,64.3
LAL,LAL vs. OKC,08/05/2020,L,48,84.3,102.9,-18.6,54.8,1.55,13.1,19,83.3,46.8,10.8,38.1,42.7,102,34.5
BKN,BKN @ BOS,08/05/2020,L,48,106.5,136.7,-30.2,51.1,1.28,16.1,24.5,75.6,46.8,16.7,51.6,55.2,108.5,35.7
UTA,UTA vs. MEM,08/05/2020,W,48,117,110.6,6.4,65.8,1.39,17.4,31.9,75.5,54.2,17,56,62.9,105,55.9
MIA,MIA vs. BOS,08/04/2020,W,48,117.9,111.6,6.3,64.7,1.69,16.9,29.2,62,45.9,13.7,53.9,59.5,95,56.7
HOU,HOU @ POR,08/04/2020,L,48,100,106.8,-6.8,70.6,2.4,18,12.3,66.7,40.2,9.8,50,52.3,102.5,43.2
MIL,MIL vs. BKN,08/04/2020,L,48,106.4,112.3,-5.8,66.7,1.47,18.7,25.5,83.9,57.5,17.4,57.4,59.1,107.5,52.3
IND,IND vs. ORL,08/04/2020,W,48,121.2,112.4,8.8,63,4.14,21.8,12.5,73.3,44.7,7.1,62.5,65,98,59.8
ORL,ORL @ IND,08/04/2020,L,48,112.4,121.2,-8.8,53.8,1.17,16.2,26.7,87.5,55.3,18.6,54.9,59.2,98,40.2
DAL,DAL @ SAC,08/04/2020,W,53,107.5,100.9,6.6,66.7,1.29,14.7,34.9,73,54,16,41.7,50.9,97.36,53.7
BOS,BOS @ MIA,08/04/2020,L,48,111.6,117.9,-6.3,40.5,0.94,11.7,38,70.8,54.1,16.8,49.4,54.7,95,43.3
LAC,LAC vs. PHX,08/04/2020,L,48,115,118.2,-3.2,50,2.1,16.2,20.5,79.6,53.1,10,54.1,59.4,99.5,52.1
POR,POR vs. HOU,08/04/2020,W,48,106.8,100,6.8,46.2,1.5,12.8,33.3,87.7,59.8,11.7,47.4,51,102.5,56.8
BKN,BKN @ MIL,08/04/2020,W,48,112.3,106.4,5.8,69.8,4.29,20.5,16.1,74.5,42.5,6.6,51.9,54.1,107.5,47.7
SAC,SAC vs. DAL,08/04/2020,L,53,100.9,107.5,-6.6,60.5,2.36,17.4,27,65.1,46,10.1,49,50.3,97.36,46.3
PHX,PHX @ LAC,08/04/2020,W,48,118.2,115,3.2,55.6,3.13,18.5,20.4,79.5,46.9,8.1,55.7,57.3,99.5,47.9
WAS,WAS vs. IND,08/03/2020,L,48,101,112.1,-11.1,73.2,2.31,20.8,26.3,79.2,50.5,13.1,49.5,50.1,99,44.7
MIA,MIA vs. TOR,08/03/2020,L,48,103,108.1,-5.1,78.4,1.93,20.6,23.5,84.6,50,15,50.6,54.8,99.5,50.5
UTA,UTA vs. LAL,08/03/2020,L,48,104.9,112.6,-7.8,67.6,1.19,18.1,23.4,81.8,51.6,20.4,51.8,57.4,103,44.2
TOR,TOR @ MIA,08/03/2020,W,48,108.1,103,5.1,65.5,0.9,15.3,15.4,76.5,50,21.2,55.2,64.6,99.5,49.5
IND,IND @ WAS,08/03/2020,W,48,112.1,101,11.1,45.5,2,15.5,20.8,73.7,49.5,10.1,51.6,56,99,55.3
LAL,LAL @ UTA,08/03/2020,W,48,112.6,104.9,7.8,56.1,1.64,17.2,18.2,76.6,48.4,13.6,55.5,60.6,103,55.8
PHI,PHI vs. SAS,08/03/2020,W,48,126.9,125,1.9,56.5,2,18.4,25,63.8,45.1,12.5,60.9,65.9,104,50.8
MEM,MEM @ NOP,08/03/2020,L,48,94.3,104.8,-10.5,67.6,1.79,17.7,19.3,78.8,47.7,13.3,46.2,49.7,104.5,42.3
DEN,DEN @ OKC,08/03/2020,W,53,112,105.6,6.4,54.8,1.77,16.1,26,75,51,12,52.3,58.1,97.36,58.2
NOP,NOP vs. MEM,08/03/2020,W,48,104.8,94.3,10.5,67.6,1.67,17.9,21.2,80.7,52.3,14.4,51.8,55,104.5,57.7
OKC,OKC vs. DEN,08/03/2020,L,53,105.6,112,-6.4,54.1,1.25,14.4,25,74,49,15,51.1,56.1,97.36,41.8
SAS,SAS @ PHI,08/03/2020,L,48,125,126.9,-1.9,45.7,1.5,14.9,36.2,75,54.9,13.5,55.9,61.5,104,49.2
DAL,DAL @ PHX,08/02/2020,L,48,109.5,111.4,-1.9,57.9,2.75,15.6,24.6,80.4,50.9,7.6,44.1,52.6,105,50.9
MIL,MIL @ HOU,08/02/2020,L,48,109.4,113.2,-3.8,46.7,0.91,14.4,36.5,84.5,61.8,21.7,53.8,56.8,106,51
BOS,BOS vs. POR,08/02/2020,W,48,132,125.3,6.7,57.1,1.71,18.5,24.3,68.9,48.8,14.4,66.2,69.6,98,51.3
SAS,SAS @ MEM,08/02/2020,W,48,102.9,101.9,0.9,61.1,1.29,15.7,27.8,86.5,56.6,16.2,48.8,53.7,104.5,49.7
PHX,PHX vs. DAL,08/02/2020,W,48,111.4,109.5,1.9,52.4,2,16.2,19.6,75.4,49.1,10.5,51.6,56.7,105,49.1
HOU,HOU vs. MIL,08/02/2020,W,48,113.2,109.4,3.8,61.1,2.44,16.1,15.5,63.5,38.2,8.5,51.1,57.3,106,49
ORL,ORL vs. SAC,08/02/2020,W,48,125.7,111.5,14.2,72.1,1.72,20.9,27.9,75,52.7,17.1,63.4,67.8,104.5,56.4
WAS,WAS @ BKN,08/02/2020,L,48,108.9,118,-9.1,65,2,18.6,27.5,68.5,48.6,12.9,50.6,55.1,100.5,47.7
SAC,SAC @ ORL,08/02/2020,L,48,111.5,125.7,-14.2,66.7,2,20.5,25,72.1,47.3,14.4,53.8,57.6,104.5,43.6
MEM,MEM vs. SAS,08/02/2020,L,48,101.9,102.9,-0.9,64.3,2.25,19.7,13.5,72.2,43.4,11.5,50,53.6,104.5,50.3
POR,POR @ BOS,08/02/2020,L,48,125.3,132,-6.7,68.9,2.58,21.5,31.1,75.7,51.2,12.1,60.6,63.9,98,48.7
BKN,BKN vs. WAS,08/02/2020,W,48,118,108.9,9.1,60.5,2.09,16.4,31.5,72.5,51.4,11,48.3,55.5,100.5,52.3
DEN,DEN vs. MIA,08/01/2020,L,48,106.1,123.8,-17.7,71.8,1.47,19.3,34.6,78.8,51.8,19.2,48.3,52.7,100,36.4
LAC,LAC vs. NOP,08/01/2020,W,48,120,99,21,62.2,2.3,16.5,20.8,76.9,48.6,9.5,56.9,61.5,104.5,58.4
PHI,PHI @ IND,08/01/2020,L,48,116.3,121,-4.6,43.5,0.95,13.8,43.8,74.5,59.6,20.2,54.3,58.2,104.5,45.5
LAL,LAL @ TOR,08/01/2020,L,48,89.3,102.9,-13.6,58.6,0.94,12.9,21.1,76,46.7,17.5,41.5,47.7,103.5,37.5
UTA,UTA @ OKC,08/01/2020,L,48,94.9,113.4,-18.5,50,1.06,12.9,29.6,64.9,44,16.2,43.7,48.6,98,37.5
IND,IND vs. PHI,08/01/2020,W,48,121,116.3,4.6,64.6,3.1,20.9,25.5,56.3,40.4,9.5,57.9,60.4,104.5,54.5
NOP,NOP @ LAC,08/01/2020,L,48,99,120,-21,63.2,1.33,17.1,23.1,79.2,51.4,17.3,50,52.9,104.5,41.6
TOR,TOR vs. LAL,08/01/2020,W,48,102.9,89.3,13.6,68.6,1.33,17.1,24,78.9,53.3,17.3,50,56.1,103.5,62.5
OKC,OKC vs. UTA,08/01/2020,W,48,113.4,94.9,18.5,46.3,0.86,14.7,35.1,70.4,56,22.7,59.7,62.8,98,62.5
MIA,MIA @ DEN,08/01/2020,W,48,123.8,106.1,17.7,72.5,1.81,21.2,21.2,65.4,48.2,15.8,64.6,70.8,100,63.6
DAL,DAL vs. HOU,07/31/2020,L,53,125.2,128.6,-3.4,60,1.5,17.6,35.5,83,57.4,16.8,57.6,61.2,107.77,45.7
SAC,SAC @ SAS,07/31/2020,L,48,111.1,120.6,-9.4,47.8,1.22,15.2,30.6,77.8,53.2,16.7,54.7,57.8,107.5,43
MEM,MEM @ POR,07/31/2020,L,53,118.4,123.9,-5.5,59.5,1.92,16,32.1,75,51.5,11.4,52.2,58.7,102.79,46.5
SAS,SAS vs. SAC,07/31/2020,W,48,120.6,111.1,9.4,66.7,2.13,21.5,22.2,69.4,46.8,14,59.4,63.3,107.5,57
BOS,BOS @ MIL,07/31/2020,L,48,106.7,111.2,-4.5,48.6,1.13,12.9,28.1,78.7,51,15.2,46.7,52.9,106,41.5
BKN,BKN vs. ORL,07/31/2020,L,48,113.5,123.1,-9.6,68.2,2.14,20.7,22,76.7,47.3,13.5,55.5,58.3,104,42.9
WAS,WAS vs. PHX,07/31/2020,L,48,103.7,115.7,-12,42.9,1,13,24.5,81.6,49.4,16.7,50.5,55.4,108,38.4
PHX,PHX @ WAS,07/31/2020,W,48,115.7,103.7,12,69,1.61,20.3,18.4,75.5,50.6,16.7,59.4,66.4,108,61.6
ORL,ORL @ BKN,07/31/2020,W,48,123.1,113.5,9.6,67.4,2.21,21.5,23.3,78,52.7,13.5,59.2,64.4,104,57.1
POR,POR vs. MEM,07/31/2020,W,53,123.9,118.4,5.5,55.1,1.59,18,25,67.9,48.5,15,61,66.1,102.79,53.5
HOU,HOU @ DAL,07/31/2020,W,53,128.6,125.2,3.4,50,2.89,16.9,17,64.5,42.6,7.6,60.9,64.7,107.77,54.3
MIL,MIL vs. BOS,07/31/2020,W,48,111.2,106.7,4.5,64.1,1.67,17.9,21.3,71.9,49,14,54.2,60.1,106,58.5
LAL,LAL vs. LAC,07/30/2020,W,48,100,99,1,65.6,1.31,15.2,25.5,81.4,50,15.5,45.7,52.4,102.5,53.7
LAC,LAC @ LAL,07/30/2020,L,48,99,100,-1,53.1,0.77,13.4,18.6,74.5,50,21.6,54.1,58.5,102.5,46.3
UTA,UTA @ NOP,07/30/2020,W,48,103.9,103,1,45.9,0.85,12.5,34,63.2,49.5,19.6,48.8,55,101.5,52.8
NOP,NOP vs. UTA,07/30/2020,L,48,103,103.9,-1,55,1.05,15.3,36.8,66,50.5,20.8,48.4,51,101.5,47.2
ATL,ATL vs. NYK,03/11/2020,L,53,114.9,116.2,-1.3,54.2,1.53,16.4,30.6,83.3,53.6,14.9,51.9,55.8,104.6,42.4
DEN,DEN @ DAL,03/11/2020,L,48,98,114.1,-16.2,59,1.44,18.3,8.9,69.8,41.8,16.2,55.4,56.1,99,43
CHA,CHA @ MIA,03/11/2020,W,48,118.5,107.7,10.8,54.1,1.43,15.4,39.1,78.3,58.7,15.2,55.5,59.4,91.5,53.3
NYK,NYK @ ATL,03/11/2020,W,53,116.2,114.9,1.3,64,2.67,20.5,16.7,69.4,46.4,10.3,59,62.4,104.6,57.6
DAL,DAL vs. DEN,03/11/2020,W,48,114.1,98,16.2,54.8,2.09,16.8,30.2,91.1,58.2,11.1,52.2,55.3,99,57
